customer_id,total_spent,latest_purchased_brand,latest_brand_tier,most_purchased_brand,most_purchased_brand_tier,latest_brand_name,most_purchased_brand_name
94,34807.9392,9,high,9,high,Trek,Trek
94,34807.9392,9,high,9,high,Trek,Trek
94,34807.9392,9,high,9,high,Trek,Trek
94,34807.9392,9,high,9,high,Trek,Trek
94,34807.9392,9,high,9,high,Trek,Trek
10,33634.2604,1,mid,1,mid,Electra,Electra
10,33634.2604,1,mid,1,mid,Electra,Electra
10,33634.2604,1,mid,1,mid,Electra,Electra
10,33634.2604,7,mid,1,mid,"Sun Bicycles",Electra
75,32803.0062,9,high,9,high,Trek,Trek
75,32803.0062,9,high,9,high,Trek,Trek
75,32803.0062,9,high,9,high,Trek,Trek
6,32675.0725,1,mid,9,high,Electra,Trek
6,32675.0725,9,high,9,high,Trek,Trek
6,32675.0725,1,mid,9,high,Electra,Trek
16,31925.8857,9,high,1,mid,Trek,Electra
16,31925.8857,7,mid,1,mid,"Sun Bicycles",Electra
16,31925.8857,1,mid,1,mid,Electra,Electra
16,31925.8857,1,mid,1,mid,Electra,Electra
16,31925.8857,3,high,1,mid,Heller,Electra
73,31913.6902,9,high,9,high,Trek,Trek
73,31913.6902,2,mid,9,high,Haro,Trek
1,28698.1534,1,mid,1,mid,Electra,Electra
1,28698.1534,1,mid,1,mid,Electra,Electra
1,28698.1534,1,mid,1,mid,Electra,Electra
61,25636.4531,8,high,9,high,Surly,Trek
61,25636.4531,9,high,9,high,Trek,Trek
61,25636.4531,1,mid,9,high,Electra,Trek
61,25636.4531,9,high,9,high,Trek,Trek
61,25636.4531,9,high,9,high,Trek,Trek
93,25612.7021,9,high,9,high,Trek,Trek
93,25612.7021,1,mid,9,high,Electra,Trek
93,25612.7021,1,mid,9,high,Electra,Trek
122,24890.6244,7,mid,7,mid,"Sun Bicycles","Sun Bicycles"
122,24890.6244,9,high,7,mid,Trek,"Sun Bicycles"
122,24890.6244,9,high,7,mid,Trek,"Sun Bicycles"
122,24890.6244,7,mid,7,mid,"Sun Bicycles","Sun Bicycles"
1224,24607.0261,9,high,9,high,Trek,Trek
